iter	Passed	Remaining
1525	6716	15290
1526	6720	15285
1527	6724	15280
1528	6728	15274
1529	6733	15271
1530	6738	15267
1531	6742	15262
1532	6746	15258
1533	6751	15254
1534	6755	15248
1535	6759	15244
1536	6764	15241
1537	6768	15235
1538	6772	15230
1539	6776	15226
1540	6782	15223
1541	6786	15218
1542	6790	15212
1543	6793	15207
1544	6798	15204
1545	6803	15199
1546	6807	15194
1547	6811	15189
1548	6815	15184
1549	6819	15179
1550	6824	15174
1551	6828	15170
1552	6832	15166
1553	6836	15160
1554	6840	15155
1555	6845	15151
1556	6849	15146
1557	6853	15141
1558	6858	15136
1559	6862	15132
1560	6866	15127
1561	6870	15122
1562	6874	15117
1563	6879	15113
1564	6883	15107
1565	6887	15102
1566	6891	15097
1567	6895	15093
1568	6899	15088
1569	6903	15083
1570	6907	15077
1571	6912	15073
1572	6916	15068
1573	6920	15062
1574	6923	15056
1575	6928	15052
1576	6932	15047
1577	6936	15041
1578	6940	15036
1579	6944	15031
1580	6948	15026
1581	6952	15020
1582	6956	15015
1583	6960	15011
1584	6964	15005
1585	6968	15000
1586	6972	14994
1587	6976	14990
1588	6980	14984
1589	6984	14979
1590	6988	14974
1591	6993	14971
1592	6997	14966
1593	7001	14960
1594	7005	14956
1595	7010	14951
1596	7014	14946
1597	7018	14941
1598	7022	14935
1599	7026	14930
1600	7029	14924
1601	7033	14919
1602	7038	14914
1603	7042	14911
1604	7046	14906
1605	7050	14900
1606	7055	14896
1607	7059	14892
1608	7064	14887
1609	7068	14882
1610	7072	14879
1611	7076	14873
1612	7081	14868
1613	7085	14863
1614	7089	14859
1615	7093	14854
1616	7097	14848
1617	7101	14843
1618	7105	14838
1619	7109	14833
1620	7113	14827
1621	7117	14822
1622	7121	14817
1623	7125	14812
1624	7129	14806
1625	7133	14801
1626	7137	14796
1627	7141	14791
1628	7145	14786
1629	7149	14781
1630	7153	14776
1631	7157	14771
1632	7161	14766
1633	7165	14761
1634	7170	14756
1635	7174	14752
1636	7178	14746
1637	7182	14741
1638	7187	14738
1639	7191	14733
1640	7194	14727
1641	7198	14722
1642	7203	14717
1643	7207	14712
1644	7211	14707
1645	7215	14703
1646	7220	14699
1647	7224	14693
1648	7228	14688
1649	7232	14684
1650	7236	14679
1651	7240	14674
1652	7244	14669
1653	7249	14664
1654	7253	14659
1655	7257	14654
1656	7261	14649
1657	7265	14644
1658	7269	14639
1659	7273	14634
1660	7277	14628
1661	7281	14624
1662	7285	14619
1663	7289	14614
1664	7293	14609
1665	7297	14604
1666	7301	14599
1667	7305	14594
1668	7309	14588
1669	7313	14583
1670	7318	14579
1671	7321	14573
1672	7325	14567
1673	7329	14563
1674	7333	14558
1675	7338	14553
1676	7342	14549
1677	7347	14545
1678	7352	14542
1679	7356	14537
1680	7360	14533
1681	7366	14530
1682	7371	14527
